Planning Area,Subzone,Population
Ang Mo Kio,Total,"159,340"
Ang Mo Kio,Total,"75,600"
Ang Mo Kio,Total,"83,740"
Ang Mo Kio,Total,810
Ang Mo Kio,Total,410
Ang Mo Kio,Total,410
Ang Mo Kio,Total,840
Ang Mo Kio,Total,430
Ang Mo Kio,Total,400
Ang Mo Kio,Total,850
Ang Mo Kio,Total,420
Ang Mo Kio,Total,420
Ang Mo Kio,Total,910
Ang Mo Kio,Total,460
Ang Mo Kio,Total,450
Ang Mo Kio,Total,"1,030"
Ang Mo Kio,Total,530
Ang Mo Kio,Total,500
Ang Mo Kio,Total,"1,040"
Ang Mo Kio,Total,530
Ang Mo Kio,Total,510
Ang Mo Kio,Total,"1,130"
Ang Mo Kio,Total,530
Ang Mo Kio,Total,610
Ang Mo Kio,Total,"1,190"
Ang Mo Kio,Total,590
Ang Mo Kio,Total,600
Ang Mo Kio,Total,"1,250"
Ang Mo Kio,Total,600
Ang Mo Kio,Total,650
Ang Mo Kio,Total,"1,270"
Ang Mo Kio,Total,670
Ang Mo Kio,Total,610
Ang Mo Kio,Total,"1,220"
Ang Mo Kio,Total,580
Ang Mo Kio,Total,640
Ang Mo Kio,Total,"1,350"
Ang Mo Kio,Total,680
Ang Mo Kio,Total,670
Ang Mo Kio,Total,"1,330"
Ang Mo Kio,Total,680
Ang Mo Kio,Total,650
Ang Mo Kio,Total,"1,260"
Ang Mo Kio,Total,640
Ang Mo Kio,Total,630
Ang Mo Kio,Total,"1,270"
Ang Mo Kio,Total,640
Ang Mo Kio,Total,630
Ang Mo Kio,Total,"1,450"
Ang Mo Kio,Total,710
Ang Mo Kio,Total,740
Ang Mo Kio,Total,"1,440"
Ang Mo Kio,Total,730
Ang Mo Kio,Total,710
Ang Mo Kio,Total,"1,450"
Ang Mo Kio,Total,730
Ang Mo Kio,Total,720
Ang Mo Kio,Total,"1,500"
Ang Mo Kio,Total,800
Ang Mo Kio,Total,700
Ang Mo Kio,Total,"1,500"
Ang Mo Kio,Total,750
Ang Mo Kio,Total,750
Ang Mo Kio,Total,"1,410"
Ang Mo Kio,Total,700
Ang Mo Kio,Total,700
Ang Mo Kio,Total,"1,500"
Ang Mo Kio,Total,790
Ang Mo Kio,Total,710
Ang Mo Kio,Total,"1,520"
Ang Mo Kio,Total,780
Ang Mo Kio,Total,740
Ang Mo Kio,Total,"1,710"
Ang Mo Kio,Total,880
Ang Mo Kio,Total,830
Ang Mo Kio,Total,"1,720"
Ang Mo Kio,Total,870
Ang Mo Kio,Total,850
Ang Mo Kio,Total,"1,680"
Ang Mo Kio,Total,890
Ang Mo Kio,Total,790
Ang Mo Kio,Total,"1,750"
Ang Mo Kio,Total,890
Ang Mo Kio,Total,860
Ang Mo Kio,Total,"1,890"
Ang Mo Kio,Total,950
Ang Mo Kio,Total,940
Ang Mo Kio,Total,"1,960"
Ang Mo Kio,Total,980
Ang Mo Kio,Total,980
Ang Mo Kio,Total,"1,960"
Ang Mo Kio,Total,"1,000"
Ang Mo Kio,Total,960
Ang Mo Kio,Total,"2,140"
Ang Mo Kio,Total,"1,060"
Ang Mo Kio,Total,"1,080"
Ang Mo Kio,Total,"2,010"
Ang Mo Kio,Total,980
Ang Mo Kio,Total,"1,030"
Ang Mo Kio,Total,"2,100"
Ang Mo Kio,Total,"1,020"
Ang Mo Kio,Total,"1,080"
Ang Mo Kio,Total,"2,030"
Ang Mo Kio,Total,980
Ang Mo Kio,Total,"1,040"
Ang Mo Kio,Total,"2,000"
Ang Mo Kio,Total,930
Ang Mo Kio,Total,"1,070"
Ang Mo Kio,Total,"2,200"
Ang Mo Kio,Total,"1,050"
Ang Mo Kio,Total,"1,160"
Ang Mo Kio,Total,"1,970"
Ang Mo Kio,Total,900
Ang Mo Kio,Total,"1,070"
Ang Mo Kio,Total,"1,730"
Ang Mo Kio,Total,820
Ang Mo Kio,Total,920
Ang Mo Kio,Total,"1,860"
Ang Mo Kio,Total,840
Ang Mo Kio,Total,"1,020"
Ang Mo Kio,Total,"1,850"
Ang Mo Kio,Total,870
Ang Mo Kio,Total,980
Ang Mo Kio,Total,"1,960"
Ang Mo Kio,Total,870
Ang Mo Kio,Total,"1,100"
Ang Mo Kio,Total,"2,070"
Ang Mo Kio,Total,920
Ang Mo Kio,Total,"1,150"
Ang Mo Kio,Total,"2,170"
Ang Mo Kio,Total,"1,010"
Ang Mo Kio,Total,"1,170"
Ang Mo Kio,Total,"2,280"
Ang Mo Kio,Total,"1,050"
Ang Mo Kio,Total,"1,230"
Ang Mo Kio,Total,"2,220"
Ang Mo Kio,Total,"1,040"
Ang Mo Kio,Total,"1,180"
Ang Mo Kio,Total,"2,270"
Ang Mo Kio,Total,"1,080"
Ang Mo Kio,Total,"1,190"
Ang Mo Kio,Total,"2,150"
Ang Mo Kio,Total,980
Ang Mo Kio,Total,"1,170"
Ang Mo Kio,Total,"2,270"
Ang Mo Kio,Total,"1,090"
Ang Mo Kio,Total,"1,180"
Ang Mo Kio,Total,"2,220"
Ang Mo Kio,Total,990
Ang Mo Kio,Total,"1,220"
Ang Mo Kio,Total,"2,320"
Ang Mo Kio,Total,"1,100"
Ang Mo Kio,Total,"1,220"
Ang Mo Kio,Total,"2,410"
Ang Mo Kio,Total,"1,140"
Ang Mo Kio,Total,"1,280"
Ang Mo Kio,Total,"2,580"
Ang Mo Kio,Total,"1,190"
Ang Mo Kio,Total,"1,400"
Ang Mo Kio,Total,"2,370"
Ang Mo Kio,Total,"1,140"
